"","X","Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state","hiddenstate","hiddenNstate","hiddenTstate","consistance","compressedState","compressedhiddenState","compressedconsistence","postpurity","clusterpurity","truepuritydiff","tcompressedstate"
"13711",13711,2,2,0.7,20,15,-0.192371892647456,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13712",13712,3,2,0.7,21,15,-0.22314355131421,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13713",13713,1,2,0.7,10,18,0.444685821261446,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13714",13714,3,2,0.7,27,16,-0.335731770093489,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13715",13715,2,2,0.7,13,18,0.238411023444998,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,4
"13716",13716,1,2,0.7,13,10,-0.176186568226439,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13717",13717,1,2,0.7,14,14,0,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13718",13718,3,2,0.7,32,14,-0.500462836730444,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13719",13719,3,2,0.7,35,15,-0.510825623765991,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13720",13720,1,2,0.7,12,17,0.255933374137201,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13721",13721,3,2,0.7,33,22,-0.265703165733006,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13722",13722,2,2,0.7,22,21,-0.0323353806429364,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13723",13723,3,2,0.7,29,13,-0.488097372688435,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13724",13724,1,2,0.7,10,15,0.300104592450338,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13725",13725,3,2,0.7,31,10,-0.64282209667243,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13726",13726,1,2,0.7,15,16,0.0456105112520523,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13727",13727,3,2,0.7,26,18,-0.242561637171311,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13728",13728,2,2,0.7,22,18,-0.13613217432458,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13729",13729,1,2,0.7,15,12,-0.150822889734584,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13730",13730,3,2,0.7,28,20,-0.22314355131421,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
